Person ID,Age,Gender,Government Employed,Private Employed,Not Employed,Marital Status,Monthly Mobile Money Transaction,Frequency of Mobile Money Usage,Use Mobile Money
K-685,18,Female,No,No,No,Married,627.3280598181126,19,Yes
K-600,24,Male,Yes,Yes,Yes,Married,793.8077877018379,24,Yes
K-601,35,Female,No,No,Yes,Married,651.6901533306852,17,No
K-710,33,Female,Yes,Yes,No,Single,802.9016444598478,30,No
K-148,32,Female,Yes,No,No,Married,945.222227879088,11,Yes
K-152,53,Male,No,Yes,No,Single,572.7496093799621,1,Yes
K-054,23,Male,Yes,Yes,No,Widowed,903.5724907741106,11,Yes
K-544,19,Female,No,No,No,Widowed,656.6086354399583,12,Yes
K-083,45,Male,Yes,No,No,Single,574.4948027137009,21,No
K-325,24,Male,No,No,Yes,Widowed,995.3465720011087,21,Yes
K-847,33,Male,No,Yes,No,Widowed,119.27138975266209,22,Yes
K-306,23,Female,No,Yes,No,Married,23.435919255988736,18,Yes
K-293,52,Male,No,No,Yes,Divorced,976.9934773084337,8,No
K-202,18,Male,Yes,No,Yes,Widowed,303.1787955469235,3,No
K-099,53,Male,No,No,Yes,Divorced,570.9354396645094,18,Yes
K-412,32,Female,Yes,No,Yes,Divorced,284.9413756682221,9,No
K-771,34,Male,Yes,Yes,Yes,Widowed,403.8425452310428,20,Yes
K-445,58,Female,Yes,Yes,No,Divorced,277.3078934602432,3,No
K-270,58,Male,No,No,Yes,Divorced,576.5293867329647,21,No
K-830,32,Male,Yes,No,No,Widowed,304.46258134658234,14,No
K-622,29,Male,Yes,Yes,No,Married,965.7620583147277,17,Yes
K-890,37,Female,Yes,Yes,Yes,Widowed,480.1188402548526,7,No
K-288,31,Female,Yes,Yes,No,Married,434.4810139363085,23,No
K-780,56,Female,No,No,No,Widowed,43.28884256384371,25,No
K-025,21,Male,No,No,Yes,Single,441.50627601297055,23,Yes
K-702,23,Female,No,Yes,No,Single,358.7885445885277,23,No
K-422,46,Female,Yes,Yes,No,Widowed,175.17903791801464,22,No
K-175,38,Female,No,No,No,Widowed,78.47532550058666,10,No
K-900,64,Male,Yes,Yes,No,Widowed,26.46169399652859,28,No
K-200,57,Female,No,No,Yes,Divorced,525.826240142088,2,No
K-233,54,Male,No,Yes,No,Divorced,351.89816388993364,17,Yes
K-137,19,Female,Yes,No,Yes,Widowed,581.4563027181259,5,Yes
K-538,21,Female,Yes,No,Yes,Divorced,753.3358031721473,2,Yes
K-274,47,Male,No,Yes,No,Married,944.9286660840943,22,No
K-323,45,Female,No,No,No,Divorced,440.0724593025396,7,No
K-275,46,Female,No,No,No,Married,856.0674445076073,10,No
K-499,50,Female,No,Yes,No,Married,990.4355579227373,1,Yes
K-576,34,Male,Yes,Yes,Yes,Single,882.769545218475,20,Yes
K-953,45,Female,No,Yes,No,Single,873.9241488929214,8,No
K-014,35,Male,Yes,No,Yes,Widowed,223.35260034242287,26,Yes
K-427,32,Male,Yes,Yes,Yes,Single,477.03405518387314,27,No
K-648,26,Female,No,No,Yes,Single,284.8524192317846,22,No
K-005,57,Male,No,Yes,Yes,Single,183.15978556641244,28,No
K-740,59,Male,No,Yes,No,Divorced,493.175717842465,12,No
K-509,36,Female,No,No,Yes,Divorced,92.58821108759837,28,Yes
K-667,53,Male,No,Yes,No,Single,72.40790677268298,7,Yes
K-680,26,Female,Yes,No,Yes,Single,590.5460645244634,16,No
K-777,53,Male,No,No,Yes,Married,226.21882626380355,17,Yes
K-883,63,Female,Yes,Yes,Yes,Single,634.1434574981232,23,No
K-789,51,Female,No,No,No,Married,353.76118275289735,22,No
K-948,40,Male,No,No,No,Married,276.7846396185365,20,Yes
K-933,35,Male,No,Yes,No,Divorced,232.07385868499188,21,Yes
K-325,34,Male,No,Yes,No,Single,417.2586898975585,12,No
K-928,38,Male,No,Yes,No,Widowed,141.16275841040314,13,Yes
K-370,28,Male,No,No,No,Single,884.0313980633531,2,No
K-129,57,Male,Yes,Yes,No,Married,561.7951034106777,3,No
K-681,51,Male,Yes,Yes,Yes,Single,308.58264813613306,10,No
K-198,51,Female,No,Yes,Yes,Divorced,439.1045847246623,4,No
K-476,62,Female,Yes,Yes,No,Widowed,780.9084419816924,6,No
K-108,48,Female,No,No,No,Married,893.1291615005156,12,Yes
K-001,58,Female,Yes,No,Yes,Widowed,86.1868825167664,24,Yes
K-852,44,Male,Yes,No,Yes,Married,480.5365474895298,26,Yes
K-174,59,Male,No,No,No,Married,284.8201367544484,21,No
K-186,33,Female,Yes,No,Yes,Single,583.1331636635057,14,Yes
K-366,41,Male,No,No,Yes,Widowed,405.035068486071,23,Yes
K-720,52,Male,No,Yes,Yes,Single,36.798294929418205,16,Yes
K-105,18,Male,No,No,No,Divorced,463.5574389874424,22,Yes
K-528,59,Male,No,No,Yes,Widowed,864.3923904937465,10,Yes
K-115,46,Male,No,No,Yes,Single,404.4499160334803,19,Yes
K-175,47,Male,No,Yes,Yes,Married,313.9161954029865,9,No
K-126,28,Male,Yes,No,Yes,Single,407.2469057955726,6,Yes
K-291,33,Female,Yes,Yes,No,Widowed,65.40617006595338,7,Yes
K-903,46,Female,Yes,Yes,Yes,Single,434.5077652732555,28,No
K-110,27,Male,Yes,No,No,Widowed,382.4643085294653,4,No
K-244,26,Male,No,No,No,Married,316.9669635692602,26,Yes
K-120,55,Female,No,No,Yes,Single,785.4020939306749,28,Yes
K-079,26,Female,No,No,No,Widowed,522.1354320302659,11,Yes
K-314,45,Female,No,No,Yes,Divorced,452.672402090878,5,No
K-710,48,Male,No,No,Yes,Single,937.911520278579,24,Yes
K-674,36,Female,Yes,No,No,Married,992.0911309803294,17,Yes
K-640,51,Female,No,Yes,Yes,Divorced,391.3850443644284,3,No
K-600,43,Male,Yes,No,Yes,Married,331.1608149953214,13,Yes
K-586,36,Male,No,No,Yes,Single,840.7972310360659,14,Yes
K-110,36,Female,No,No,Yes,Married,524.4464011550515,4,Yes
K-597,60,Female,No,Yes,Yes,Divorced,457.30346584306204,27,No
K-181,20,Male,No,Yes,Yes,Single,608.0766259806732,29,No
K-613,44,Male,No,Yes,Yes,Single,156.99330684772212,8,Yes
K-379,51,Male,No,No,Yes,Single,460.8897079555267,29,Yes
K-275,43,Male,No,Yes,No,Single,529.7207378317216,4,Yes
K-724,63,Male,Yes,Yes,No,Divorced,902.4681564502872,26,Yes
K-916,52,Male,Yes,Yes,Yes,Widowed,683.7093363313976,5,No
K-106,20,Female,Yes,No,Yes,Married,552.8777243974985,6,Yes
K-770,28,Male,No,Yes,Yes,Divorced,17.805262473355974,22,Yes
K-371,20,Male,No,No,No,Single,431.2525610565011,22,No
K-194,61,Female,Yes,Yes,No,Single,581.3688415801383,19,No
K-526,48,Male,Yes,No,No,Divorced,460.3112808196865,9,Yes
K-159,23,Female,No,No,No,Widowed,815.5418632048448,1,Yes
K-209,50,Male,Yes,Yes,No,Single,991.2302344646517,8,Yes
K-404,23,Male,No,No,Yes,Married,627.0617262899293,27,No
K-084,30,Male,No,Yes,Yes,Married,625.4759706384954,16,Yes
K-765,21,Female,No,Yes,Yes,Married,968.6035461913543,6,No
K-825,35,Female,No,No,Yes,Divorced,168.86296744872504,15,No
K-901,34,Male,No,Yes,No,Widowed,342.2746691544437,30,Yes
K-867,48,Male,Yes,No,No,Widowed,69.34485526707752,24,Yes
K-799,44,Male,Yes,No,No,Widowed,533.6505297405744,17,No
K-069,31,Female,No,No,Yes,Single,979.731660042104,29,Yes
K-386,47,Female,Yes,Yes,Yes,Single,482.87003784765193,20,Yes
K-661,60,Male,No,No,Yes,Single,344.1026079465975,30,No
K-553,35,Female,Yes,No,Yes,Divorced,662.5847071315279,15,No
K-383,42,Male,No,No,No,Single,814.9233246149861,9,Yes
K-088,55,Female,No,Yes,No,Married,91.23716791129647,24,No
K-102,59,Female,Yes,Yes,No,Divorced,775.3527185143229,20,No
K-791,63,Female,No,No,No,Widowed,941.3738426541453,8,No
K-695,50,Male,Yes,No,No,Divorced,156.33058993029965,11,No
K-295,56,Male,No,No,No,Single,622.9909716194205,7,No
K-089,33,Male,Yes,No,No,Single,478.4581472327982,3,No
K-900,31,Female,No,Yes,No,Divorced,488.86939680978315,3,No
K-917,60,Male,No,No,No,Married,716.6291997259162,24,Yes
K-197,52,Female,Yes,No,Yes,Widowed,824.1826709721335,2,No
K-098,49,Female,Yes,No,Yes,Married,778.0451866337645,17,No
K-731,21,Male,Yes,Yes,No,Divorced,610.2450517146343,8,No
K-847,53,Male,No,Yes,No,Widowed,892.4012067831928,20,No
K-696,29,Female,No,Yes,No,Single,361.6729461322103,25,Yes
K-118,40,Female,No,Yes,No,Divorced,541.9062351022498,13,No
K-166,25,Female,Yes,No,No,Widowed,74.94881853782638,28,No
K-704,19,Male,No,Yes,Yes,Married,161.83518908075226,9,Yes
K-396,46,Female,No,No,No,Widowed,427.6260726415472,25,No
K-285,39,Male,No,No,Yes,Widowed,670.9173724344143,12,Yes
K-750,52,Female,Yes,Yes,No,Single,382.62526364240773,13,Yes
K-809,26,Female,Yes,No,Yes,Single,106.5184503729344,23,Yes
K-742,49,Female,No,No,No,Married,612.8987280785602,11,Yes
K-618,34,Male,No,Yes,No,Single,966.7260717235145,19,Yes
K-364,36,Male,No,Yes,No,Widowed,274.53496154369543,28,Yes
K-314,42,Male,No,Yes,Yes,Divorced,860.1896935495831,24,Yes
K-236,45,Male,No,No,No,Widowed,991.9714258630831,30,No
K-111,36,Male,Yes,No,No,Married,543.479818361198,17,No
K-475,20,Female,No,Yes,Yes,Single,213.51065941445432,23,No
K-075,52,Male,Yes,Yes,No,Divorced,819.85297269828,11,No
K-301,53,Female,No,No,No,Widowed,412.85271209881836,11,Yes
K-274,21,Female,Yes,No,No,Divorced,976.125029734348,12,Yes
K-478,25,Female,Yes,No,No,Single,49.5928738817098,9,No
K-534,48,Male,No,Yes,No,Divorced,541.8632980047946,8,No
K-798,21,Female,Yes,Yes,Yes,Married,625.4487820887252,7,Yes
K-082,55,Female,No,No,Yes,Widowed,747.7806304318078,9,Yes
K-798,46,Female,Yes,Yes,No,Divorced,271.6894303721988,16,Yes
K-969,62,Female,Yes,Yes,Yes,Widowed,609.654837697576,9,Yes
K-213,63,Male,No,No,No,Married,66.74741771604455,5,Yes
K-973,55,Male,Yes,No,Yes,Single,116.13863797426056,22,Yes
K-292,18,Female,No,No,Yes,Married,705.9221936798241,13,Yes
K-637,54,Female,Yes,Yes,Yes,Divorced,43.730057651930956,13,No
K-783,47,Female,Yes,Yes,No,Widowed,937.7458715211126,4,No
K-758,45,Male,Yes,No,No,Divorced,261.08945067485774,18,No
K-958,42,Male,Yes,Yes,Yes,Divorced,591.5015549436728,2,No
K-259,20,Female,Yes,Yes,Yes,Divorced,915.8210626124624,14,No
K-283,30,Female,Yes,No,Yes,Divorced,797.6344648577809,29,Yes
K-707,46,Female,No,No,No,Married,446.9082554786067,22,Yes
K-650,33,Male,No,No,Yes,Divorced,458.201570496862,30,No
K-036,37,Male,No,Yes,No,Married,468.71057658896035,21,No
K-082,62,Male,Yes,Yes,No,Divorced,341.1290040811537,28,Yes
K-436,40,Female,No,Yes,No,Single,96.50886293863014,16,Yes
K-148,31,Female,Yes,No,No,Divorced,759.7905018053316,25,Yes
K-365,57,Male,Yes,Yes,No,Single,113.03797870202807,17,Yes
K-219,58,Male,Yes,Yes,Yes,Single,224.70154759013025,13,No
K-120,52,Female,No,Yes,No,Widowed,821.8222115110542,17,No
K-863,23,Female,No,No,No,Divorced,864.8414563021721,2,Yes
K-726,26,Male,Yes,No,Yes,Widowed,721.4401264377404,26,No
K-962,53,Female,No,No,No,Married,974.8427695835707,13,Yes
K-412,50,Female,No,Yes,No,Single,526.9541103120979,11,No
K-940,21,Male,No,Yes,Yes,Single,496.6755128978204,3,No
K-390,39,Male,Yes,No,No,Widowed,78.4908322044656,20,Yes
K-375,49,Female,Yes,Yes,Yes,Divorced,373.37578199662624,16,No
K-802,60,Male,No,Yes,No,Widowed,595.1547270256502,13,No
K-420,51,Male,No,Yes,Yes,Widowed,703.044056500776,6,No
K-251,60,Female,No,No,Yes,Divorced,41.735062596211094,7,No
K-774,30,Female,Yes,No,Yes,Widowed,519.7729799174008,29,No
K-143,63,Female,No,No,No,Divorced,372.581876449793,6,Yes
K-485,38,Female,Yes,Yes,Yes,Married,40.35443784246074,28,Yes
K-828,32,Female,Yes,Yes,No,Single,797.0379083762808,8,No
K-144,59,Male,Yes,No,Yes,Divorced,239.0679617651381,26,No
K-773,18,Female,Yes,Yes,No,Divorced,780.4934056234794,5,Yes
K-161,35,Male,No,Yes,No,Divorced,476.74274616072273,17,No
K-417,32,Female,No,Yes,Yes,Single,295.41754783569695,19,Yes
K-109,26,Female,Yes,Yes,No,Widowed,323.5633598879217,17,Yes
K-094,55,Male,Yes,Yes,No,Widowed,497.70610835189757,25,Yes
K-110,43,Male,Yes,No,No,Widowed,488.9153360547188,26,Yes
K-348,54,Male,Yes,No,Yes,Widowed,131.43536350124936,20,No
K-544,51,Male,Yes,No,No,Widowed,21.241577227070632,14,Yes
K-066,42,Male,No,No,No,Married,160.5069549374738,17,Yes
K-005,64,Male,Yes,No,Yes,Widowed,404.00827588143267,14,Yes
K-727,33,Female,Yes,Yes,No,Widowed,776.75594533536,23,Yes
K-812,38,Female,No,Yes,No,Married,399.0371071088842,25,Yes
K-711,36,Male,Yes,No,Yes,Widowed,71.4154623163613,13,Yes
K-294,37,Female,No,Yes,No,Single,618.9074404287452,9,No
K-602,47,Male,Yes,Yes,Yes,Single,985.2575925437607,8,Yes
K-483,19,Male,Yes,No,Yes,Married,490.180228060246,29,No
K-342,20,Male,Yes,Yes,Yes,Widowed,65.80844049782888,24,No
K-123,36,Male,No,Yes,No,Married,853.2904969296707,2,No
K-116,35,Female,Yes,No,No,Married,825.5156286603939,5,Yes
K-127,37,Female,No,Yes,No,Divorced,956.5619279643604,17,Yes
K-186,23,Male,Yes,No,Yes,Divorced,453.90181650485573,11,Yes
K-605,49,Male,No,Yes,No,Married,686.8891828032858,7,No
K-059,23,Female,Yes,Yes,Yes,Married,712.6035321455186,14,No
K-005,40,Male,Yes,No,No,Single,802.2530475476883,16,No
K-810,43,Male,No,No,No,Divorced,69.73199027420557,12,No
K-100,44,Female,No,Yes,Yes,Widowed,27.915394619460397,19,No
K-687,28,Male,Yes,No,No,Widowed,394.5200759974142,15,No
K-006,41,Male,No,No,No,Divorced,605.696419485882,25,No
K-153,35,Female,Yes,Yes,No,Married,668.0189306690943,18,Yes
K-498,60,Female,No,No,Yes,Married,828.7805177919298,1,No
K-122,19,Male,Yes,No,Yes,Single,10.059962914101481,25,No
K-708,28,Female,Yes,Yes,Yes,Single,405.2301598213302,4,No
K-152,30,Female,No,Yes,No,Divorced,553.3607747253117,20,Yes
K-878,19,Female,Yes,Yes,No,Married,809.4881661182748,25,Yes
K-691,52,Male,No,Yes,No,Single,899.1298594737539,18,Yes
K-978,49,Male,Yes,Yes,No,Married,127.42936318210823,13,No
K-296,28,Male,No,No,No,Divorced,570.6484894987866,10,Yes
K-092,21,Male,No,Yes,No,Divorced,628.252501641254,20,No
K-145,25,Male,No,Yes,Yes,Widowed,467.95691108420164,9,No
K-295,51,Male,No,No,Yes,Widowed,980.6056993973248,6,No
K-663,60,Female,No,Yes,No,Widowed,989.1418127410954,24,No
K-794,23,Female,No,No,Yes,Widowed,273.2711832014987,27,Yes
K-630,61,Female,Yes,Yes,Yes,Widowed,955.4962141962202,2,Yes
K-432,63,Male,No,Yes,No,Single,435.696812666006,8,Yes
K-492,48,Male,Yes,No,Yes,Single,623.853044551847,23,No
K-432,40,Female,Yes,Yes,Yes,Divorced,678.3746546825494,5,No
K-173,35,Male,No,Yes,Yes,Single,337.2903377516182,14,Yes
K-394,39,Male,No,Yes,Yes,Single,372.81513675255,1,Yes
K-893,31,Female,Yes,No,No,Widowed,996.1105583000854,4,No
